grade,level,word,englishHint,englishScenario,tagalogHint,tagalogScenario,category
2,EASY,NICE,Pleasant and agreeable,Your teacher is this when she smiles at you. Can you spell it?,Kaaya-aya at kasundo,Ang iyong guro ay ganito kapag ngumingiti siya sa iyo. Marunong ka bang magbaybay nito?,Qualities
2,EASY,GOOD,Of high quality or morally right,You feel this way when you help someone. Can you spell it?,Mataas na kalidad o moral na tama,Nararamdaman mo ito kapag tumutulong ka sa isang tao. Marunong ka bang magbaybay nito?,Qualities
2,EASY,PARK,An outdoor area with grass and trees,Children play on swings and slides here. Can you spell it?,Isang lugar sa labas na may damo at puno,Naglalaro ang mga bata sa mga duyan at slide dito. Marunong ka bang magbaybay nito?,Places
2,EASY,PEOPLE,Human beings in general,Many of these live in your community. Can you spell it?,Mga tao sa pangkalahatan,Marami sa mga ito ay nakatira sa iyong komunidad. Marunong ka bang magbaybay nito?,Social
2,EASY,GROUP,A number of people or things together,Students work together in this during class. Can you spell it?,Isang bilang ng mga tao o bagay na magkasama,Nagtutulungan ang mga estudyante sa loob nito sa klase. Marunong ka bang magbaybay nito?,Social
2,EASY,TEAM,People working together for a goal,Players work together as this in sports. Can you spell it?,Mga taong nagtutulungan para sa isang layunin,Nagtutulungan ang mga manlalaro bilang ito sa sports. Marunong ka bang magbaybay nito?,Social
2,EASY,FRIEND,Someone you like and trust,This person plays with you and makes you happy. Can you spell it?,Isang taong gusto mo at pinagkakatiwalaan,Ang taong ito ay naglalaro sa iyo at nagpapasaya sa iyo. Marunong ka bang magbaybay nito?,Social
2,MEDIUM,ENVIRONMENT,The natural world around us,Trees plants and animals are part of this. Can you spell it?,Ang natural na mundo sa paligid natin,Ang mga puno halaman at hayop ay bahagi nito. Marunong ka bang magbaybay nito?,Nature
2,MEDIUM,TRADITION,Customs passed down through generations,Your family celebrates holidays following this. Can you spell it?,Mga kaugalian na ipinasa sa mga henerasyon,Ipinagdiriwang ng iyong pamilya ang mga pista na sumusunod dito. Marunong ka bang magbaybay nito?,Culture
2,MEDIUM,CULTURE,The way of life of a group of people,Filipino food and dances are part of our this. Can you spell it?,Ang pamumuhay ng isang grupo ng mga tao,Ang pagkaing Pilipino at sayaw ay bahagi ng ating ito. Marunong ka bang magbaybay nito?,Culture
2,MEDIUM,FESTIVAL,A special celebration or event,Towns have colorful parades during this. Can you spell it?,Isang espesyal na pagdiriwang o kaganapan,Ang mga bayan ay may makulay na parada sa panahon nito. Marunong ka bang magbaybay nito?,Events
2,MEDIUM,CELEBRATION,A happy gathering for a special occasion,Birthdays and weddings are examples of this. Can you spell it?,Isang masayang pagtitipon para sa espesyal na okasyon,Ang mga kaarawan at kasal ay mga halimbawa nito. Marunong ka bang magbaybay nito?,Events
2,MEDIUM,COOPERATION,Working together to achieve a goal,Teamwork requires this from all members. Can you spell it?,Pagtutulungan upang makamit ang layunin,Ang teamwork ay nangangailangan nito mula sa lahat ng miyembro. Marunong ka bang magbaybay nito?,Values
2,MEDIUM,DISCIPLINE,Following rules and behaving properly,Students show this by listening to their teacher. Can you spell it?,Pagsunod sa mga patakaran at tamang pag-uugali,Ipinapakita ng mga estudyante ito sa pamamagitan ng pakikinig sa kanilang guro. Marunong ka bang magbaybay nito?,Values
2,MEDIUM,OBEDIENCE,Doing what you are told by authority,Children show this when they follow their parents. Can you spell it?,Pagsunod sa sinasabi ng may kapangyarihan,Ipinapakita ng mga bata ito kapag sinusunod nila ang kanilang mga magulang. Marunong ka bang magbaybay nito?,Values
2,MEDIUM,GRATITUDE,Being thankful for what you have,You show this by saying thank you. Can you spell it?,Pagpapasalamat sa mga mayroon ka,Ipinapakita mo ito sa pamamagitan ng pagsasabi ng salamat. Marunong ka bang magbaybay nito?,Values
2,MEDIUM,GENEROSITY,Being willing to give and share freely,You show this when you donate to those in need. Can you spell it?,Pagkahandang magbigay at magbahagi,Ipinapakita mo ito kapag nagdo-donate ka sa mga nangangailangan. Marunong ka bang magbaybay nito?,Values
2,MEDIUM,KINDNESS,Being friendly helpful and considerate,You show this when you comfort a crying friend. Can you spell it?,Pagiging palakaibigan matulungin at mapag-isip,Ipinapakita mo ito kapag inaalo mo ang isang umiiyak na kaibigan. Marunong ka bang magbaybay nito?,Values
2,MEDIUM,FAIRNESS,Treating everyone equally and justly,Teachers show this by giving everyone a turn. Can you spell it?,Pagtrato sa lahat nang pantay-pantay at makatarungan,Ipinapakita ng mga guro ito sa pamamagitan ng pagbibigay sa lahat ng pagkakataon. Marunong ka bang magbaybay nito?,Values
2,MEDIUM,JUSTICE,Fair treatment according to rules,Courts make sure everyone receives this. Can you spell it?,Makatarungang pagtrato ayon sa mga patakaran,Sinisiguro ng mga korte na makatanggap ang lahat nito. Marunong ka bang magbaybay nito?,Values
2,MEDIUM,EQUALITY,The state of being equal in rights,Everyone deserves this regardless of who they are. Can you spell it?,Ang kalagayan ng pagiging pantay sa mga karapatan,Karapat-dapat ang lahat nito anuman ang kanilang pagkatao. Marunong ka bang magbaybay nito?,Values
2,MEDIUM,PROTECTION,Keeping someone or something safe,Parents provide this for their children. Can you spell it?,Pag-iingat sa isang tao o bagay,Nagbibigay ang mga magulang nito para sa kanilang mga anak. Marunong ka bang magbaybay nito?,Actions
2,MEDIUM,CONSERVATION,Protecting and saving natural resources,Planting trees is a form of this. Can you spell it?,Pag-iingat at pag-save ng natural na yaman,Ang pagtatanim ng mga puno ay isang anyo nito. Marunong ka bang magbaybay nito?,Environment
2,MEDIUM,PRESERVATION,Keeping something in its original state,Museums practice this with historical artifacts. Can you spell it?,Pag-iingat ng isang bagay sa orihinal na kalagayan,Ginagawa ng mga museo ito sa mga makasaysayang artifact. Marunong ka bang magbaybay nito?,Actions
2,MEDIUM,RESTORATION,Bringing something back to good condition,Old buildings need this to look new again. Can you spell it?,Pagbabalik ng isang bagay sa mabuting kondisyon,Kailangan ng mga lumang gusali ito upang mukhang bago muli. Marunong ka bang magbaybay nito?,Actions
2,MEDIUM,IMPROVEMENT,Making something better than before,Practice leads to this in your skills. Can you spell it?,Paggawa ng isang bagay na mas mahusay,Ang pagsasanay ay humahantong sa ito sa iyong mga kasanayan. Marunong ka bang magbaybay nito?,Growth
2,MEDIUM,CEREMONY,A formal event for a special occasion,Graduations and weddings have this. Can you spell it?,Isang pormal na kaganapan para sa espesyal na okasyon,Ang mga graduation at kasal ay may ito. Marunong ka bang magbaybay nito?,Events
2,MEDIUM,HONESTY,Telling the truth and being sincere,You show this when you admit your mistakes. Can you spell it?,Pagsasabi ng katotohanan at pagiging tapat,Ipinapakita mo ito kapag inamin mo ang iyong mga pagkakamali. Marunong ka bang magbaybay nito?,Values
2,MEDIUM,PATIENCE,Staying calm while waiting,You need this when standing in a long line. Can you spell it?,Pananatiling kalmado habang naghihintay,Kailangan mo nito kapag nakatayo sa isang mahabang pila. Marunong ka bang magbaybay nito?,Values
2,MEDIUM,COMPASSION,Feeling sympathy and wanting to help,You feel this when you see someone suffering. Can you spell it?,Pagkakaroon ng simpatya at pagnanais na tumulong,Nararamdaman mo ito kapag nakikita mo ang isang taong nagdurusa. Marunong ka bang magbaybay nito?,Values
2,MEDIUM,MOUNTAIN,A very tall natural landform with a peak,Climbers reach the top of this high place. Can you spell it?,Isang napakataas na natural na anyong lupa na may tuktok,Umaakyat ang mga climber sa tuktok ng mataas na lugar na ito. Marunong ka bang magbaybay nito?,Nature
2,MEDIUM,FOREST,A large area with many trees,Many animals live in this green place. Can you spell it?,Isang malaking lugar na may maraming puno,Maraming hayop ang nakatira sa berdeng lugar na ito. Marunong ka bang magbaybay nito?,Nature
2,MEDIUM,EXCITED,Feeling very happy and enthusiastic,You feel this way before your birthday party. Can you spell it?,Nakakaramdam ng labis na saya at sigasig,Nararamdaman mo ito bago ang iyong birthday party. Marunong ka bang magbaybay nito?,Emotions
2,MEDIUM,TIRED,Feeling like you need to rest,You feel this after playing all day. Can you spell it?,Pakiramdam na kailangan mong magpahinga,Nararamdaman mo ito pagkatapos maglaro buong araw. Marunong ka bang magbaybay nito?,Emotions
2,MEDIUM,HUNGRY,Feeling like you need to eat,Your stomach growls when you feel this. Can you spell it?,Pakiramdam na kailangan mong kumain,Kumukulog ang iyong tiyan kapag nararamdaman mo ito. Marunong ka bang magbaybay nito?,Emotions
2,MEDIUM,THIRSTY,Feeling like you need to drink,You feel this after running in the sun. Can you spell it?,Pakiramdam na kailangan mong uminom,Nararamdaman mo ito pagkatapos tumakbo sa araw. Marunong ka bang magbaybay nito?,Emotions
2,MEDIUM,SCARED,Feeling afraid of something,You might feel this during a thunderstorm. Can you spell it?,Natatakot sa isang bagay,Maaaring maramdaman mo ito sa panahon ng bagyo. Marunong ka bang magbaybay nito?,Emotions
2,MEDIUM,ANGRY,Feeling mad or upset about something,You might feel this when someone is unfair. Can you spell it?,Galit o nagagalit tungkol sa isang bagay,Maaaring maramdaman mo ito kapag may hindi patas. Marunong ka bang magbaybay nito?,Emotions
2,HARD,RESPONSIBILITY,Taking care of your duties and tasks,Students have this to do their homework. Can you spell it?,Pag-aalaga sa iyong mga tungkulin,Ang mga estudyante ay may ito upang gawin ang kanilang takdang-aralin. Marunong ka bang magbaybay nito?,Values
2,HARD,CITIZENSHIP,Being a good member of your community,Voting and following laws show good this. Can you spell it?,Pagiging mabuting miyembro ng iyong komunidad,Ang pagboto at pagsunod sa mga batas ay nagpapakita ng mabuting ito. Marunong ka bang magbaybay nito?,Social
2,HARD,NEIGHBORHOOD,The area where you live with neighbors,All the houses and people around your home make up this. Can you spell it?,Ang lugar kung saan ka nakatira kasama ang kapitbahay,Ang lahat ng mga bahay at tao sa paligid ng iyong tahanan ay bumubuo nito. Marunong ka bang magbaybay nito?,Places
2,HARD,PARTICIPATION,Taking part in activities or events,Your teacher encourages this in class discussions. Can you spell it?,Paglahok sa mga aktibidad o kaganapan,Hinihikayat ng iyong guro ito sa mga talakayan sa klase. Marunong ka bang magbaybay nito?,Social
2,HARD,ORGANIZATION,Arranging things in an orderly way,Keeping your desk neat shows good this. Can you spell it?,Pag-aayos ng mga bagay sa maayos na paraan,Ang pag-iingat ng iyong desk na malinis ay nagpapakita ng mabuting ito. Marunong ka bang magbaybay nito?,Skills
2,HARD,COMMUNICATION,Sharing ideas and feelings with others,Talking and listening are important parts of this. Can you spell it?,Pagbabahagi ng mga ideya at damdamin sa iba,Ang pakikipag-usap at pakikinig ay mahalagang bahagi nito. Marunong ka bang magbaybay nito?,Skills
2,HARD,COLLABORATION,Working together with others on a project,Group projects require this from all members. Can you spell it?,Pagtutulungan sa isang proyekto,Ang mga group project ay nangangailangan nito mula sa lahat ng miyembro. Marunong ka bang magbaybay nito?,Skills
2,HARD,COORDINATION,Organizing different parts to work together,Planning a school event needs good this. Can you spell it?,Pag-oorganisa ng iba't ibang bahagi upang magtulungan,Ang pagpaplano ng isang school event ay nangangailangan ng mabuting ito. Marunong ka bang magbaybay nito?,Skills
2,HARD,INTEGRATION,Combining different things into one whole,Mixing all ingredients shows this in cooking. Can you spell it?,Pagsasama ng iba't ibang bagay sa isang buo,Ang paghahalo ng lahat ng sangkap ay nagpapakita nito sa pagluluto. Marunong ka bang magbaybay nito?,Skills
2,HARD,INTERACTION,Communication between people or things,Playing with friends involves this. Can you spell it?,Komunikasyon sa pagitan ng mga tao o bagay,Ang paglalaro kasama ang mga kaibigan ay nagsasangkot nito. Marunong ka bang magbaybay nito?,Social
2,HARD,DEVELOPMENT,The process of growing and improving,Children go through this as they learn new skills. Can you spell it?,Ang proseso ng paglaki at pagpapabuti,Dumadaan ang mga bata sa ito habang natututo ng mga bagong kasanayan. Marunong ka bang magbaybay nito?,Growth
2,HARD,IMPROVEMENT,Making something better than before,Practice leads to this in your abilities. Can you spell it?,Paggawa ng isang bagay na mas mahusay,Ang pagsasanay ay humahantong sa ito sa iyong mga kakayahan. Marunong ka bang magbaybay nito?,Growth
2,HARD,ACHIEVEMENT,Successfully reaching a goal,Finishing a difficult task is an this. Can you spell it?,Matagumpay na pag-abot sa isang layunin,Ang pagtatapos ng isang mahirap na gawain ay isang ito. Marunong ka bang magbaybay nito?,Success
2,HARD,ACCOMPLISHMENT,Something successfully completed,Winning a competition is a great this. Can you spell it?,Isang bagay na matagumpay na natapos,Ang pagwawagi sa isang kompetisyon ay isang dakila na ito. Marunong ka bang magbaybay nito?,Success
2,HARD,ADVANCEMENT,Moving forward or making progress,Hard work leads to this in your career. Can you spell it?,Pasulong o paggawa ng pag-unlad,Ang sipag sa trabaho ay humahantong sa ito sa iyong karera. Marunong ka bang magbaybay nito?,Growth
2,HARD,SUSTAINABILITY,Using resources carefully for the future,Recycling helps achieve this for our planet. Can you spell it?,Paggamit ng mga yaman nang maingat para sa hinaharap,Ang pag-recycle ay tumutulong makamit ito para sa ating planeta. Marunong ka bang magbaybay nito?,Environment
2,HARD,ACCOUNTABILITY,Being responsible for your actions,Adults have this for their decisions. Can you spell it?,Pagiging responsable sa iyong mga aksyon,Ang mga matatanda ay may ito para sa kanilang mga desisyon. Marunong ka bang magbaybay nito?,Values
2,HARD,RELIABILITY,Being dependable and trustworthy,Friends value this quality in each other. Can you spell it?,Pagiging mapagkakatiwalaan at maaasahan,Pinahahalagahan ng mga kaibigan ang katangiang ito sa isa't isa. Marunong ka bang magbaybay nito?,Values
2,HARD,DEPENDABILITY,Being able to be counted on,Your parents show this by always being there for you. Can you spell it?,Pagiging maaasahan,Ipinapakita ng iyong mga magulang ito sa pamamagitan ng palaging nandyan para sa iyo. Marunong ka bang magbaybay nito?,Values
2,HARD,TRUSTWORTHINESS,Being worthy of trust and confidence,Honest people are known for their this. Can you spell it?,Pagiging karapat-dapat sa tiwala at kumpiyansa,Ang mga taong tapat ay kilala sa kanilang ito. Marunong ka bang magbaybay nito?,Values
2,HARD,NEIGHBORHOOD,The area around your home with neighbors,All the families living near you form this. Can you spell it?,Ang lugar sa paligid ng iyong tahanan na may mga kapitbahay,Ang lahat ng pamilyang nakatira malapit sa iyo ay bumubuo nito. Marunong ka bang magbaybay nito?,Places
2,HARD,CELEBRATION,A joyful event marking something special,Parties and festivals are types of this. Can you spell it?,Isang masayang kaganapan na nagmamarka ng isang espesyal,Ang mga party at pista ay mga uri nito. Marunong ka bang magbaybay nito?,Events
2,HARD,ENVIRONMENT,All living and non-living things around us,Plants animals and air are part of our this. Can you spell it?,Lahat ng buhay at hindi buhay na bagay sa paligid natin,Ang mga halaman hayop at hangin ay bahagi ng ating ito. Marunong ka bang magbaybay nito?,Nature
2,HARD,PROTECTION,Keeping safe from harm or danger,Helmets provide this for your head. Can you spell it?,Pag-iingat mula sa pinsala o panganib,Ang mga helmet ay nagbibigay nito para sa iyong ulo. Marunong ka bang magbaybay nito?,Safety
2,HARD,CONSERVATION,Careful use and protection of resources,Saving water is an example of this. Can you spell it?,Maingat na paggamit at proteksyon ng mga yaman,Ang pag-save ng tubig ay isang halimbawa nito. Marunong ka bang magbaybay nito?,Environment
2,HARD,PRESERVATION,Maintaining something in its original state,National parks practice this for nature. Can you spell it?,Pagpapanatili ng isang bagay sa orihinal na kalagayan,Ginagawa ng mga national park ito para sa kalikasan. Marunong ka bang magbaybay nito?,Environment
2,HARD,RESTORATION,Returning something to its former condition,Old paintings need this to look beautiful again. Can you spell it?,Pagbabalik ng isang bagay sa dating kondisyon,Kailangan ng mga lumang painting ito upang mukhang maganda muli. Marunong ka bang magbaybay nito?,Actions
2,HARD,IMPROVEMENT,The act of making something better,Studying leads to this in your grades. Can you spell it?,Ang pagkilos ng paggawa ng isang bagay na mas mahusay,Ang pag-aaral ay humahantong sa ito sa iyong mga grado. Marunong ka bang magbaybay nito?,Growth
2,HARD,COOPERATION,Working together toward a common goal,Team sports require this from all players. Can you spell it?,Pagtutulungan tungo sa isang karaniwang layunin,Ang team sports ay nangangailangan nito mula sa lahat ng manlalaro. Marunong ka bang magbaybay nito?,Values
2,HARD,DISCIPLINE,Self-control and following rules,Athletes need this to train every day. Can you spell it?,Pagpipigil sa sarili at pagsunod sa mga patakaran,Kailangan ng mga atleta ito upang mag-ensayo araw-araw. Marunong ka bang magbaybay nito?,Values
2,HARD,OBEDIENCE,Following instructions from authority,Students show this by listening to teachers. Can you spell it?,Pagsunod sa mga tagubilin mula sa awtoridad,Ipinapakita ng mga estudyante ito sa pamamagitan ng pakikinig sa mga guro. Marunong ka bang magbaybay nito?,Values
3,EASY,RESPECT,Showing honor and consideration to others,You show this by being polite to elders. Can you spell it?,Pagpapakita ng paggalang at konsiderasyon sa iba,Ipinapakita mo ito sa pamamagitan ng pagiging magalang sa matatanda. Marunong ka bang magbaybay nito?,Values
3,EASY,KINDNESS,Being friendly helpful and caring,You show this when you help a classmate. Can you spell it?,Pagiging palakaibigan matulungin at maalalahanin,Ipinapakita mo ito kapag tumutulong ka sa isang kaklase. Marunong ka bang magbaybay nito?,Values
3,EASY,HONESTY,Always telling the truth,You practice this when you admit your mistakes. Can you spell it?,Palaging nagsasabi ng katotohanan,Ginagawa mo ito kapag inamin mo ang iyong mga pagkakamali. Marunong ka bang magbaybay nito?,Values
3,EASY,PATIENCE,Staying calm while waiting for something,You need this when waiting for your turn. Can you spell it?,Pananatiling kalmado habang naghihintay,Kailangan mo nito kapag naghihintay ng iyong pagkakataon. Marunong ka bang magbaybay nito?,Values
3,EASY,COURAGE,Bravery in facing difficult situations,You show this when you try something new. Can you spell it?,Tapang sa pagharap sa mahihirap na sitwasyon,Ipinapakita mo ito kapag sumusubok ka ng bagong bagay. Marunong ka bang magbaybay nito?,Values
3,EASY,BRAVERY,Being courageous and fearless,Heroes are known for their this. Can you spell it?,Pagiging matapang at walang takot,Ang mga bayani ay kilala sa kanilang ito. Marunong ka bang magbaybay nito?,Values
3,EASY,LOYALTY,Being faithful and devoted,Dogs are famous for showing this to their owners. Can you spell it?,Pagiging tapat at dedikado,Ang mga aso ay sikat sa pagpapakita nito sa kanilang mga may-ari. Marunong ka bang magbaybay nito?,Values
3,EASY,SHARING,Giving part of what you have to others,You practice this when you share your snacks. Can you spell it?,Pagbibigay ng bahagi ng mayroon ka sa iba,Ginagawa mo ito kapag nagbabahagi ka ng iyong meryenda. Marunong ka bang magbaybay nito?,Values
3,EASY,CARING,Showing concern and kindness to others,You show this when you comfort a sad friend. Can you spell it?,Pagpapakita ng malasakit at kabaitan sa iba,Ipinapakita mo ito kapag inaalo mo ang isang malungkot na kaibigan. Marunong ka bang magbaybay nito?,Values
3,EASY,HELPING,Assisting someone in need,You do this when you carry heavy bags for someone. Can you spell it?,Pagtulong sa isang taong nangangailangan,Ginagawa mo ito kapag dinadala mo ang mabibigat na bag para sa isang tao. Marunong ka bang magbaybay nito?,Actions
3,EASY,LOVING,Showing deep affection and care,Families express this through hugs and kind words. Can you spell it?,Pagpapakita ng malalim na pagmamahal at malasakit,Ipinapahayag ng mga pamilya ito sa pamamagitan ng mga yakap at mabubuting salita. Marunong ka bang magbaybay nito?,Emotions
3,EASY,TRUSTING,Having confidence in someone,You show this when you believe what your friend says. Can you spell it?,Pagkakaroon ng tiwala sa isang tao,Ipinapakita mo ito kapag naniniwala ka sa sinasabi ng iyong kaibigan. Marunong ka bang magbaybay nito?,Values
3,EASY,BELIEVING,Accepting something as true,You practice this when you have faith in yourself. Can you spell it?,Pagtanggap ng isang bagay bilang totoo,Ginagawa mo ito kapag may tiwala ka sa iyong sarili. Marunong ka bang magbaybay nito?,Actions
3,EASY,HOPING,Wishing for something good to happen,You do this when you want to pass your test. Can you spell it?,Pag-asa na mangyari ang isang mabuting bagay,Ginagawa mo ito kapag gusto mong pumasa sa iyong pagsusulit. Marunong ka bang magbaybay nito?,Emotions
3,EASY,LEARNING,Gaining knowledge or skills,You do this every day at school. Can you spell it?,Pagkuha ng kaalaman o kasanayan,Ginagawa mo ito araw-araw sa paaralan. Marunong ka bang magbaybay nito?,Actions
3,EASY,GROWING,Becoming bigger or more mature,Plants and children are always doing this. Can you spell it?,Pagiging mas malaki o mas mature,Ang mga halaman at bata ay palaging gumagawa nito. Marunong ka bang magbaybay nito?,Growth
3,EASY,TRYING,Making an effort to do something,You show this when you attempt a difficult task. Can you spell it?,Paggawa ng pagsisikap upang gawin ang isang bagay,Ipinapakita mo ito kapag sinusubukan mo ang isang mahirap na gawain. Marunong ka bang magbaybay nito?,Actions
3,EASY,PRACTICING,Doing something repeatedly to improve,Musicians do this to get better at their instruments. Can you spell it?,Paggawa ng isang bagay nang paulit-ulit upang mapabuti,Ginagawa ito ng mga musikero upang maging mas mahusay sa kanilang mga instrumento. Marunong ka bang magbaybay nito?,Actions
3,EASY,IMPROVING,Getting better at something,Your skills are this when you practice regularly. Can you spell it?,Pagiging mas mahusay sa isang bagay,Ang iyong mga kasanayan ay ito kapag nagsasanay ka nang regular. Marunong ka bang magbaybay nito?,Growth
3,EASY,SUCCEEDING,Achieving what you set out to do,You are this when you reach your goals. Can you spell it?,Pagkamit ng iyong layunin,Ikaw ay ito kapag naabot mo ang iyong mga layunin. Marunong ka bang magbaybay nito?,Success
3,EASY,LISTENING,Paying attention to sounds or words,You practice this when your teacher talks. Can you spell it?,Pagbibigay pansin sa mga tunog o salita,Ginagawa mo ito kapag nagsasalita ang iyong guro. Marunong ka bang magbaybay nito?,Actions
3,EASY,SPEAKING,Expressing thoughts through words,You do this when you answer questions in class. Can you spell it?,Pagpapahayag ng mga kaisipan sa pamamagitan ng mga salita,Ginagawa mo ito kapag sumasagot ka ng mga tanong sa klase. Marunong ka bang magbaybay nito?,Actions
3,EASY,READING,Understanding written words,You do this with books and stories. Can you spell it?,Pag-unawa sa mga nakasulat na salita,Ginagawa mo ito sa mga aklat at kuwento. Marunong ka bang magbaybay nito?,Actions
3,EASY,WRITING,Creating words on paper or screen,You do this when you complete your homework. Can you spell it?,Paglikha ng mga salita sa papel o screen,Ginagawa mo ito kapag kumukumpleto ka ng iyong takdang-aralin. Marunong ka bang magbaybay nito?,Actions
3,EASY,THINKING,Using your mind to consider ideas,You do this when solving math problems. Can you spell it?,Paggamit ng iyong isip upang isaalang-alang ang mga ideya,Ginagawa mo ito kapag nalulutas ang mga math problem. Marunong ka bang magbaybay nito?,Actions
3,EASY,UNDERSTANDING,Knowing the meaning of something,You gain this when you study your lessons. Can you spell it?,Pagkakaalam ng kahulugan ng isang bagay,Nakakakuha ka nito kapag nag-aaral ka ng iyong mga aralin. Marunong ka bang magbaybay nito?,Knowledge
3,EASY,FRIENDSHIP,A close relationship between friends,You build this by spending time with others. Can you spell it?,Isang malapit na relasyon sa pagitan ng mga kaibigan,Binubuo mo ito sa pamamagitan ng paglalaan ng oras sa iba. Marunong ka bang magbaybay nito?,Social
3,EASY,HAPPINESS,The feeling of being joyful,You experience this when good things happen. Can you spell it?,Ang pakiramdam ng pagiging masaya,Nararanasan mo ito kapag may magagandang bagay na nangyayari. Marunong ka bang magbaybay nito?,Emotions
3,EASY,SADNESS,The feeling of being unhappy,You might feel this when you lose something important. Can you spell it?,Ang pakiramdam ng pagiging malungkot,Maaaring maramdaman mo ito kapag nawala mo ang isang mahalagang bagay. Marunong ka bang magbaybay nito?,Emotions
3,EASY,EXCITEMENT,Feeling very enthusiastic and eager,You feel this before a field trip. Can you spell it?,Pakiramdam ng labis na sigasig at sabik,Nararamdaman mo ito bago ang isang field trip. Marunong ka bang magbaybay nito?,Emotions
3,EASY,CALMNESS,Being peaceful and relaxed,You feel this when you meditate or rest. Can you spell it?,Pagiging mapayapa at relaxed,Nararamdaman mo ito kapag nag-meditate o nagpapahinga ka. Marunong ka bang magbaybay nito?,Emotions
3,MEDIUM,COOPERATION,Working together harmoniously,Team projects require this from everyone. Can you spell it?,Pagtutulungan nang maayos,Ang mga team project ay nangangailangan nito mula sa lahat. Marunong ka bang magbaybay nito?,Values
3,MEDIUM,DISCIPLINE,Self-control and orderly conduct,Athletes need this to train consistently. Can you spell it?,Pagpipigil sa sarili at maayos na pag-uugali,Kailangan ng mga atleta ito upang mag-ensayo nang tuluy-tuloy. Marunong ka bang magbaybay nito?,Values
3,MEDIUM,OBEDIENCE,Following rules and instructions,Students show this by respecting school rules. Can you spell it?,Pagsunod sa mga patakaran at tagubilin,Ipinapakita ng mga estudyante ito sa pamamagitan ng paggalang sa mga patakaran ng paaralan. Marunong ka bang magbaybay nito?,Values
3,MEDIUM,GRATITUDE,Being thankful and appreciative,You express this by saying thank you. Can you spell it?,Pagiging mapagpasalamat at mapagpahalaga,Ipinapahayag mo ito sa pamamagitan ng pagsasabi ng salamat. Marunong ka bang magbaybay nito?,Values
3,MEDIUM,GENEROSITY,Willingness to give freely,You show this when you donate to charity. Can you spell it?,Pagkahandang magbigay nang malaya,Ipinapakita mo ito kapag nagdo-donate ka sa charity. Marunong ka bang magbaybay nito?,Values
3,MEDIUM,COMPASSION,Deep sympathy and concern for others,You feel this when you see someone in pain. Can you spell it?,Malalim na simpatya at malasakit para sa iba,Nararamdaman mo ito kapag nakikita mo ang isang taong nasasaktan. Marunong ka bang magbaybay nito?,Values
3,MEDIUM,FRIENDSHIP,A bond between people who care for each other,You build this through trust and shared experiences. Can you spell it?,Isang ugnayan sa pagitan ng mga taong nag-aalaga sa isa't isa,Binubuo mo ito sa pamamagitan ng tiwala at mga karanasang pinagsaluhan. Marunong ka bang magbaybay nito?,Social
3,MEDIUM,PARTNERSHIP,Working together as equals,Business owners form this to run companies. Can you spell it?,Pagtutulungan bilang pantay-pantay,Bumubuo ang mga may-ari ng negosyo nito upang patakbuhin ang mga kumpanya. Marunong ka bang magbaybay nito?,Social
3,MEDIUM,MEMBERSHIP,Belonging to a group or organization,You have this when you join a club. Can you spell it?,Pagiging bahagi ng isang grupo o organisasyon,Mayroon ka nito kapag sumali ka sa isang club. Marunong ka bang magbaybay nito?,Social
3,MEDIUM,LEADERSHIP,Guiding and inspiring others,Class presidents show this quality. Can you spell it?,Paggabay at pagbibigay inspirasyon sa iba,Ipinapakita ng mga class president ang katangiang ito. Marunong ka bang magbaybay nito?,Skills
3,MEDIUM,FOLLOWERSHIP,Supporting and working with leaders,Good team members practice this. Can you spell it?,Pagsuporta at pagtutulungan sa mga lider,Ginagawa ng mabubuting miyembro ng koponan ito. Marunong ka bang magbaybay nito?,Skills
3,MEDIUM,RESPONSIBILITY,Being accountable for your actions,You show this by completing your chores. Can you spell it?,Pagiging responsable sa iyong mga aksyon,Ipinapakita mo ito sa pamamagitan ng pagkumpleto ng iyong mga gawain. Marunong ka bang magbaybay nito?,Values
3,MEDIUM,ACCOUNTABILITY,Accepting consequences of your actions,Adults practice this in their work. Can you spell it?,Pagtanggap ng mga kahihinatnan ng iyong mga aksyon,Ginagawa ng mga matatanda ito sa kanilang trabaho. Marunong ka bang magbaybay nito?,Values
3,MEDIUM,RELIABILITY,Being dependable and consistent,Friends value this trait in each other. Can you spell it?,Pagiging maaasahan at tuluy-tuloy,Pinahahalagahan ng mga kaibigan ang katangiang ito sa isa't isa. Marunong ka bang magbaybay nito?,Values
3,MEDIUM,DEPENDABILITY,Being trustworthy and reliable,Your parents show this by always being there. Can you spell it?,Pagiging mapagkakatiwalaan at maaasahan,Ipinapakita ng iyong mga magulang ito sa pamamagitan ng palaging nandyan. Marunong ka bang magbaybay nito?,Values
3,MEDIUM,CREATIVITY,Using imagination to create new things,Artists need this to make beautiful works. Can you spell it?,Paggamit ng imahinasyon upang lumikha ng mga bagong bagay,Kailangan ng mga artist ito upang gumawa ng magagandang gawa. Marunong ka bang magbaybay nito?,Skills
3,MEDIUM,CURIOSITY,Wanting to learn and discover new things,Scientists have this about how things work. Can you spell it?,Pagnanais na matuto at matuklasan ang mga bagong bagay,Mayroon ang mga siyentipiko nito tungkol sa kung paano gumagana ang mga bagay. Marunong ka bang magbaybay nito?,Qualities
